corpus,run,fold,score
switchboardcell,12,7,0.64000000000000001
switchboardcell,12,8,0.64000000000000001
switchboardcell,12,9,0.73999999999999999
switchboardcell,13,0,0.66000000000000003
switchboardcell,13,1,0.66000000000000003
switchboardcell,13,2,0.54000000000000004
switchboardcell,13,3,0.83999999999999997
switchboardcell,13,4,0.76000000000000001
switchboardcell,13,5,0.69999999999999996
switchboardcell,13,6,0.66000000000000003
switchboardcell,13,7,0.80000000000000004
switchboardcell,13,8,0.73999999999999999
switchboardcell,13,9,0.69999999999999996
switchboardcell,14,0,0.66000000000000003
switchboardcell,14,1,0.64000000000000001
switchboardcell,14,2,0.78000000000000003
switchboardcell,14,3,0.57999999999999996
switchboardcell,14,4,0.71999999999999997
switchboardcell,14,5,0.73999999999999999
switchboardcell,14,6,0.71999999999999997
switchboardcell,14,7,0.71999999999999997
switchboardcell,14,8,0.71999999999999997
switchboardcell,14,9,0.64000000000000001
switchboardcell,15,0,0.68000000000000005
switchboardcell,15,1,0.71999999999999997
switchboardcell,15,2,0.64000000000000001
switchboardcell,15,3,0.71999999999999997
switchboardcell,15,4,0.69999999999999996
switchboardcell,15,5,0.76000000000000001
switchboardcell,15,6,0.69999999999999996
switchboardcell,15,7,0.68000000000000005
switchboardcell,15,8,0.80000000000000004
switchboardcell,15,9,0.68000000000000005
switchboardcell,16,0,0.66000000000000003
switchboardcell,16,1,0.78000000000000003
switchboardcell,16,2,0.59999999999999998
switchboardcell,16,3,0.66000000000000003
switchboardcell,16,4,0.78000000000000003
switchboardcell,16,5,0.80000000000000004
switchboardcell,16,6,0.80000000000000004
switchboardcell,16,7,0.62
switchboardcell,16,8,0.64000000000000001
switchboardcell,16,9,0.66000000000000003
switchboardcell,17,0,0.76000000000000001
switchboardcell,17,1,0.69999999999999996
switchboardcell,17,2,0.68000000000000005
switchboardcell,17,3,0.71999999999999997
switchboardcell,17,4,0.56000000000000005
switchboardcell,17,5,0.64000000000000001
switchboardcell,17,6,0.69999999999999996
switchboardcell,17,7,0.73999999999999999
switchboardcell,17,8,0.62
switchboardcell,17,9,0.66000000000000003
switchboardcell,18,0,0.69999999999999996
switchboardcell,18,1,0.73999999999999999
switchboardcell,18,2,0.69999999999999996
switchboardcell,18,3,0.68000000000000005
switchboardcell,18,4,0.66000000000000003
switchboardcell,18,5,0.66000000000000003
switchboardcell,18,6,0.73999999999999999
switchboardcell,18,7,0.78000000000000003
switchboardcell,18,8,0.73999999999999999
switchboardcell,18,9,0.66000000000000003
switchboardcell,19,0,0.78000000000000003
switchboardcell,19,1,0.64000000000000001
switchboardcell,19,2,0.69999999999999996
switchboardcell,19,3,0.62
switchboardcell,19,4,0.71999999999999997
switchboardcell,19,5,0.78000000000000003
switchboardcell,19,6,0.68000000000000005
switchboardcell,19,7,0.62
switchboardcell,19,8,0.56000000000000005
switchboardcell,19,9,0.64000000000000001
switchboardcell,20,0,0.64000000000000001
switchboardcell,20,1,0.69999999999999996
switchboardcell,20,2,0.68000000000000005
switchboardcell,20,3,0.73999999999999999
switchboardcell,20,4,0.68000000000000005
switchboardcell,20,5,0.68000000000000005
switchboardcell,20,6,0.68000000000000005
switchboardcell,20,7,0.64000000000000001
switchboardcell,20,8,0.76000000000000001
switchboardcell,20,9,0.66000000000000003
switchboardcell,21,0,0.71999999999999997
switchboardcell,21,1,0.73999999999999999
switchboardcell,21,2,0.78000000000000003
switchboardcell,21,3,0.69999999999999996
switchboardcell,21,4,0.73999999999999999
switchboardcell,21,5,0.69999999999999996
switchboardcell,21,6,0.78000000000000003
switchboardcell,21,7,0.68000000000000005
switchboardcell,21,8,0.66000000000000003
switchboardcell,21,9,0.76000000000000001
switchboardcell,22,0,0.69999999999999996
switchboardcell,22,1,0.78000000000000003
switchboardcell,22,2,0.66000000000000003
switchboardcell,22,3,0.64000000000000001
switchboardcell,22,4,0.76000000000000001
switchboardcell,22,5,0.73999999999999999
switchboardcell,22,6,0.62
switchboardcell,22,7,0.71999999999999997
switchboardcell,22,8,0.76000000000000001
switchboardcell,22,9,0.5
switchboardcell,23,0,0.62
switchboardcell,23,1,0.73999999999999999
switchboardcell,23,2,0.78000000000000003
switchboardcell,23,3,0.80000000000000004
switchboardcell,23,4,0.62
switchboardcell,23,5,0.64000000000000001
switchboardcell,23,6,0.57999999999999996
switchboardcell,23,7,0.66000000000000003
switchboardcell,23,8,0.66000000000000003
switchboardcell,23,9,0.71999999999999997
switchboardcell,24,0,0.83999999999999997
switchboardcell,24,1,0.68000000000000005
switchboardcell,24,2,0.69999999999999996
switchboardcell,24,3,0.68000000000000005
switchboardcell,24,4,0.62
switchboardcell,24,5,0.62
switchboardcell,24,6,0.66000000000000003
switchboardcell,24,7,0.71999999999999997
switchboardcell,24,8,0.71999999999999997
switchboardcell,24,9,0.62
fisher2,0,0,0.81389365351629506
fisher2,0,1,0.80360205831903941
fisher2,0,2,0.77958833619210977
fisher2,0,3,0.79502572898799317
fisher2,0,4,0.82590051457975988
fisher2,0,5,0.81373390557939917
fisher2,0,6,0.82075471698113212
fisher2,0,7,0.80360205831903941
fisher2,0,8,0.80017152658662094
fisher2,0,9,0.79588336192109777
fisher2,1,0,0.80531732418524871
fisher2,1,1,0.81217838765008576
fisher2,1,2,0.79845626072041165
fisher2,1,3,0.82933104631217835
fisher2,1,4,0.78473413379073753
fisher2,1,5,0.80858369098712446
